P (bars),Gas_wt,wH2O,wH2,wO2,wCO2,wCO,wCH4,wSO2,wH2S,wS2,wN2,,,
10609.82,7.18E-09,0.0102986,6.07E-06,2.22E-12,0.966498,0.0224585,3.63E-09,0.000632577,6.35E-05,4.26E-05,0,,,
10609.32,7.18E-09,0.0102996,6.07E-06,2.22E-12,0.966497,0.0224587,3.63E-09,0.0006326,6.35E-05,4.26E-05,0,,,
10608.82,7.18E-09,0.0103006,6.07E-06,2.22E-12,0.966496,0.0224588,3.63E-09,0.000632623,6.35E-05,4.26E-05,0,,,
10608.32,7.18E-09,0.0103015,6.07E-06,2.22E-12,0.966495,0.022459,3.63E-09,0.000632646,6.35E-05,4.26E-05,0,,,
10607.82,7.18E-09,0.0103025,6.07E-06,2.22E-12,0.966493,0.0224591,3.63E-09,0.000632669,6.35E-05,4.26E-05,0,,,
10607.32,7.18E-09,0.0103035,6.07E-06,2.22E-12,0.966492,0.0224593,3.63E-09,0.000632692,6.36E-05,4.26E-05,0,,,
10606.82,7.18E-09,0.0103045,6.08E-06,2.22E-12,0.966491,0.0224594,3.63E-09,0.000632715,6.36E-05,4.26E-05,0,,,
10606.32,7.18E-09,0.0103054,6.08E-06,2.22E-12,0.96649,0.0224596,3.63E-09,0.000632738,6.36E-05,4.26E-05,0,,,
10605.82,7.18E-09,0.0103064,6.08E-06,2.22E-12,0.966489,0.0224598,3.64E-09,0.000632761,6.36E-05,4.26E-05,0,,,
10605.32,7.18E-09,0.0103074,6.08E-06,2.22E-12,0.966488,0.0224599,3.64E-09,0.000632784,6.36E-05,4.26E-05,0,,,
10604.82,7.18E-09,0.0103084,6.08E-06,2.22E-12,0.966487,0.0224601,3.64E-09,0.000632807,6.36E-05,4.26E-05,0,,,
10604.32,7.18E-09,0.0103093,6.08E-06,2.22E-12,0.966485,0.0224602,3.64E-09,0.00063283,6.36E-05,4.26E-05,0,,,
10603.82,7.18E-09,0.0103103,6.08E-06,2.22E-12,0.966484,0.0224604,3.64E-09,0.000632853,6.36E-05,4.26E-05,0,,,
10603.32,7.18E-09,0.0103113,6.08E-06,2.22E-12,0.966483,0.0224605,3.64E-09,0.000632876,6.36E-05,4.26E-05,0,,,
10602.82,7.18E-09,0.0103122,6.08E-06,2.22E-12,0.966482,0.0224607,3.64E-09,0.000632899,6.36E-05,4.26E-05,0,,,
10602.32,7.18E-09,0.0103132,6.08E-06,2.22E-12,0.966481,0.0224608,3.64E-09,0.000632922,6.36E-05,4.26E-05,0,,,
10601.82,7.18E-09,0.0103142,6.08E-06,2.22E-12,0.96648,0.022461,3.64E-09,0.000632945,6.37E-05,4.26E-05,0,,,
10601.32,7.18E-09,0.0103152,6.08E-06,2.22E-12,0.966478,0.0224611,3.64E-09,0.000632968,6.37E-05,4.26E-05,0,,,
10600.82,7.18E-09,0.0103161,6.09E-06,2.22E-12,0.966477,0.0224613,3.64E-09,0.000632991,6.37E-05,4.26E-05,0,,,
10600.32,7.18E-09,0.0103171,6.09E-06,2.22E-12,0.966476,0.0224614,3.64E-09,0.000633014,6.37E-05,4.26E-05,0,,,
10599.82,7.18E-09,0.0103181,6.09E-06,2.22E-12,0.966475,0.0224616,3.64E-09,0.000633037,6.37E-05,4.26E-05,0,,,
10599.32,7.18E-09,0.0103191,6.09E-06,2.22E-12,0.966474,0.0224618,3.64E-09,0.00063306,6.37E-05,4.26E-05,0,,,
10598.82,7.18E-09,0.01032,6.09E-06,2.22E-12,0.966473,0.0224619,3.64E-09,0.000633083,6.37E-05,4.26E-05,0,,,
10598.32,7.18E-09,0.010321,6.09E-06,2.22E-12,0.966471,0.0224621,3.64E-09,0.000633106,6.37E-05,4.26E-05,0,,,
10597.82,7.18E-09,0.010322,6.09E-06,2.22E-12,0.96647,0.0224622,3.64E-09,0.000633129,6.37E-05,4.26E-05,0,,,
10597.32,7.18E-09,0.010323,6.09E-06,2.22E-12,0.966469,0.0224624,3.64E-09,0.000633152,6.37E-05,4.26E-05,0,,,
10596.82,7.18E-09,0.0103239,6.09E-06,2.22E-12,0.966468,0.0224625,3.64E-09,0.000633175,6.37E-05,4.26E-05,0,,,
10596.32,7.18E-09,0.0103249,6.09E-06,2.22E-12,0.966467,0.0224627,3.64E-09,0.000633198,6.38E-05,4.26E-05,0,,,
10595.82,7.18E-09,0.0103259,6.09E-06,2.22E-12,0.966466,0.0224628,3.64E-09,0.000633221,6.38E-05,4.26E-05,0,,,
10595.32,7.18E-09,0.0103269,6.09E-06,2.22E-12,0.966464,0.022463,3.65E-09,0.000633244,6.38E-05,4.26E-05,0,,,
10594.82,7.18E-09,0.0103278,6.10E-06,2.22E-12,0.966463,0.0224631,3.65E-09,0.000633267,6.38E-05,4.26E-05,0,,,
10594.32,7.18E-09,0.0103288,6.10E-06,2.22E-12,0.966462,0.0224633,3.65E-09,0.00063329,6.38E-05,4.26E-05,0,,,
10593.82,7.18E-09,0.0103298,6.10E-06,2.22E-12,0.966461,0.0224635,3.65E-09,0.000633313,6.38E-05,4.26E-05,0,,,
10593.32,7.18E-09,0.0103308,6.10E-06,2.22E-12,0.96646,0.0224636,3.65E-09,0.000633336,6.38E-05,4.26E-05,0,,,
10592.82,7.18E-09,0.0103317,6.10E-06,2.22E-12,0.966459,0.0224638,3.65E-09,0.000633359,6.38E-05,4.26E-05,0,,,
10592.32,7.18E-09,0.0103327,6.10E-06,2.22E-12,0.966457,0.0224639,3.65E-09,0.000633382,6.38E-05,4.26E-05,0,,,
10591.82,7.18E-09,0.0103337,6.10E-06,2.22E-12,0.966456,0.0224641,3.65E-09,0.000633405,6.38E-05,4.26E-05,0,,,
10591.32,7.18E-09,0.0103347,6.10E-06,2.22E-12,0.966455,0.0224642,3.65E-09,0.000633428,6.38E-05,4.26E-05,0,,,
10590.82,7.18E-09,0.0103356,6.10E-06,2.22E-12,0.966454,0.0224644,3.65E-09,0.000633451,6.39E-05,4.26E-05,0,,,
10590.32,7.18E-09,0.0103366,6.10E-06,2.22E-12,0.966453,0.0224645,3.65E-09,0.000633474,6.39E-05,4.26E-05,0,,,
10589.82,7.18E-09,0.0103376,6.10E-06,2.22E-12,0.966452,0.0224647,3.65E-09,0.000633497,6.39E-05,4.26E-05,0,,,
10589.32,7.18E-09,0.0103386,6.10E-06,2.22E-12,0.966451,0.0224648,3.65E-09,0.00063352,6.39E-05,4.26E-05,0,,,
10588.82,7.18E-09,0.0103396,6.11E-06,2.22E-12,0.966449,0.022465,3.65E-09,0.000633543,6.39E-05,4.26E-05,0,,,
10588.32,7.18E-09,0.0103405,6.11E-06,2.22E-12,0.966448,0.0224651,3.65E-09,0.000633566,6.39E-05,4.26E-05,0,,,
10587.82,7.18E-09,0.0103415,6.11E-06,2.22E-12,0.966447,0.0224653,3.65E-09,0.000633589,6.39E-05,4.26E-05,0,,,
10587.32,7.18E-09,0.0103425,6.11E-06,2.22E-12,0.966446,0.0224655,3.65E-09,0.000633612,6.39E-05,4.26E-05,0,,,
